Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
United States,USA,"Population, total",SP.POP.TOTL,309321666,311556874,313830990,315993715,318301008,320635163,322941311,324985539,326687501,328239523
United States,USA,"Population ages 0-14, total",SP.POP.0014.TO,62497826,62389679,62211250,61988641,61802095,61638027,61434232,61287489,61120095,60886190
United States,USA,"Population ages 15-64, total",SP.POP.1564.TO,206668404,207885093,209059763,210066008,211084681,212046899,212957120,213587340,213925776,214146999
United States,USA,"Population ages 65 and above, total",SP.POP.65UP.TO,40155435,41282103,42559976,43939066,45414232,46950237,48549959,50110709,51641630,53206334
United States,USA,"Population ages 80 and above, female",SP.POP.80UP.FE,7105211,7210043,7280219,7323336,7359143,7398480,7511330,7598866,7674464,7759209
United States,USA,"Population ages 80 and above, male",SP.POP.80UP.MA,4118235,4250935,4353830,4433264,4502771,4568339,4735454,4883146,5011343,5123805
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Data from database: Population estimates and projections,,,,,,,,,,,,,
Last Updated: 12/18/2020,,,,,,,,,,,,,
