Word,Count
gatsby,171
into,168
tom,163
about,140
daisy,137
over,133
down,115
came,108
been,105
back,105
little,102
just,94
went,90
eyes,85
after,84
house,84
got,83
looked,82
before,82
didn’t,81
old,77
don’t,73
get,71
way,69
new,69
moment,69
gatsby’s,67
around,67
through,66
going,65
door,65
something,64
away,64
turned,64
made,63
other,63
any,62
think,62
hand,62
long,61
wilson,61
never,60
night,60
jordan,60
people,58
voice,57
want,55
car,54
knew,53
room,53
again,52
saw,52
only,51
face,50
began,50
here,48
took,48
toward,47
thought,46
while,45
told,44
because,44
last,44
young,43
asked,43
heard,43
girl,42
until,41
off,41
men,40
white,40
head,40
suddenly,40
seemed,39
left,39
day,39
its,39
right,38
wasn’t,38
light,38
hands,37
i’m,36
found,36
half,36
miss,36
another,36
name,35
once,35
looking,34
tell,34
always,33
three,33
west,33
though,33
i’d,33
each,33
next,33
under,32
small,32
baker,32
hour,32
sat,32
nothing,31
egg,31
cried,31
seen,31
years,30
along,30
front,30
afternoon,30
table,30
five,30
can’t,30
minute,29
sound,29
daisy’s,29
called,29
still,28
stood,28
couldn’t,28
himself,28
ever,27
wanted,27
every,27
moved,27
without,27
gave,26
those,26
morning,26
things,26
side,26
across,26
inquired,26
might,26
great,25
few,25
it’s,25
life,25
rather,25
together,25
air,25
dark,25
garage,25
world,24
started,24
later,24
between,24
york,24
four,24
demanded,24
that’s,24
steps,24
felt,23
sort,23
walked,23
love,23
anything,23
broke,23
“he,23
feet,23
home,23
lawn,22
yellow,22
good,22
course,22
o’clock,22
gone,22
east,21
alone,21
among,21
garden,21
open,21
word,21
blue,21
beside,21
hadn’t,21
michaelis,21
windows,20
full,20
almost,20
i’ll,20
he’s,20
hot,20
met,20
drive,20
wouldn’t,20
married,20
girls,20
wolfshiem,20
heart,19
city,19
stopped,19
rose,19
hair,19
wife,19
tried,19
loved,19
itself,18
everything,18
road,18
