Word,Count
hamlet,446
king,184
lord,182
horatio,150
queen,114
shall,114
o,110
polonius,105
good,105
thou,102
laertes,91
thy,86
ophelia,80
rosencrantz,78
’tis,73
hath,64
love,60
sir,59
guildenstern,57
i’ll,57
thee,54
here,51
marcellus,46
clown,46
father,45
think,45
scene,44
tell,42
mother,39
heaven,37
thus,37
nor,37
ay,37
death,36
night,35
soul,33
osric,32
into,32
might,31
whose,31
lord?,31
castle,30
nothing,30
dead,30
life,30
indeed,30
made,29
mine,29
pray,29
cannot,29
room,28
barnardo,28
again,28
god,28
been,28
dear,28
ghost,27
hold,27
down,27
doth,27
play,27
part,26
leave,26
great,26
both,26
never,26
world,25
away,25
nay,25
head,25
sweet,25
act,24
heart,24
though,24
nature,24
before,23
comes,23
itself,23
second,23
matter,23
denmark,22
i’,22
call,22
seen,21
those,21
madness,21
friends,20
eyes,20
off,20
fair,20
without,20
old,20
till,20
poor,20
himself,20
means,20
another,19
son,19
fortinbras,19
players,19
believe,19
true,19
day,19
hand,19
still,19
earth,19
done,19
follow,19
words,19
player,19
once,18
fear,18
little,18
blood,18
about,18
father’s,18
keep,18
many,18
there’s,18
mad,18
reynaldo,17
art,17
find,17
thoughts,17
noble,17
ear,17
makes,17
since,17
end,17
th’,17
cause,17
use,16
stand,16
watch,16
farewell,16
welcome,16
that’s,16
question,16
is’t,16
young,16
hast,16
youth,16
marry,16
sword,16
england,16
state,15
gentleman,15
therefore,15
majesty,15
something,15
body,15
faith,15
drink,15
between,15
rest,15
daughter,14
answer,14
yourself,14
long,14
live,14
has,14
last,14
mark,14
eye,14
heard,14
spirit,14
o’er,14
bear,14
better,14
tongue,14
else,14
speech,14
after,14
dost,14
other,13
haste,13
ho,13
you?,13
form,13
goes,13
grace,13
ever,13
grief,13
thine,13
within,13
sense,13
we’ll,13
while,13
sent,13
ii,12
same,12
together,12
gone,12
e’en,12
ere,12
any,12
voice,12
oft,12
being,12
ourselves,12
