Word,Count
shall,169
article,106
house,62
law,50
diet,40
members,36
people,33
representatives,30
state,30
any,29
public,29
cabinet,27
constitution,25
other,24
provided,19
right,17
person,17
councillors,15
court,14
judges,14
minister,13
supreme,13
rights,13
both,13
houses,13
power,12
chapter,12
prime,12
matters,11
election,11
ministers,11
except,11
each,11
however,11
laws,10
emperor,10
general,10
nor,10
officials,9
property,9
order,9
guaranteed,9
under,9
its,9
within,9
majority,9
local,9
national,8
determined,8
accordance,8
after,8
term,8
office,8
session,8
present,8
through,7
imperial,7
paragraph,7
preceding,7
receive,7
fixed,7
courts,7
unless,7
days,7
decision,7
budget,7
action,6
established,6
case,6
without,6
affairs,6
act,6
freedom,6
cases,6
years,6
resolution,6
japanese,5
government,5
passed,5
approval,5
acts,5
perform,5
only,5
judge,5
made,5
use,5
welfare,5
has,5
held,5
religious,5
education,5
judicial,5
demand,5
during,5
period,5
ten,5
(10),5
executive,5
provisions,5
elected,4
nations,4
war,4
sovereign,4
peace,4
human,4
responsible,4
political,4
chief,4
following,4
amendments,4
orders,4
treaties,4
special,4
foreign,4
functions,4
maintained,4
necessary,4
social,4
every,4
pertaining,4
competent,4
officer,4
adequate,4
presence,4
organ,4
consist,4
before,4
dissolved,4
determine,4
date,4
two-thirds,4
those,4
proceedings,4
bill,4
final,4
appointed,4
inferior,4
entities,4
positions,4
secure,3
liberty,3
establish,3
authority,3
powers,3
place,3
international,3
nation,3
required,3
therefor,3
appoint,3
designated,3
•attestation,3
appointment,3
full,3
amnesty,3
punishment,3
given,3
recognized,3
conditions,3
being,3
fundamental,3
inviolate,3
life,3
consideration,3
equal,3
family,3
privilege,3
choose,3
secrecy,3
violated,3
publicly,3
choice,3
redress,3
regulations,3
entity,3
official,3
organization,3
exercise,3
part,3
persons,3
consent,3
standards,3
compensation,3
liable,3
procedure,3
apprehended,3
warrant,3
issued,3
detained,3
immediately,3
accused,3
witnesses,3
same,3
been,3
number,3
member,3
votes,3
year,3
either,3
makes,3
