,Word,Count_US,Count_Rus,Count
0,shall,306.0,383.0,169.0
1,states,113.0,0.0,0.0
2,president,106.0,90.0,0.0
3,united,84.0,0.0,0.0
4,any,78.0,14.0,29.0
5,state,76.0,214.0,30.0
6,congress,62.0,0.0,0.0
7,section,55.0,0.0,0.0
8,office,37.0,11.0,8.0
9,law,36.0,109.0,50.0
10,amendment,35.0,0.0,0.0
11,house,34.0,0.0,62.0
12,person,34.0,10.0,17.0
13,other,31.0,61.0,24.0
14,representatives,29.0,8.0,30.0
15,senate,28.0,0.0,0.0
16,article,27.0,143.0,106.0
17,vice,26.0,0.0,0.0
18,each,25.0,0.0,11.0
19,number,25.0,13.0,3.0
20,constitution,24.0,77.0,25.0
21,power,22.0,21.0,12.0
22,within,20.0,23.0,9.0
23,years,19.0,10.0,6.0
24,thereof,19.0,0.0,0.0
25,citizens,18.0,26.0,0.0
26,powers,17.0,28.0,3.0
27,been,17.0,12.0,3.0
28,under,17.0,13.0,9.0
29,duties,17.0,0.0,0.0
30,nor,17.0,0.0,10.0
31,1,16.0,106.0,0.0
32,2,16.0,106.0,0.0
33,several,16.0,0.0,0.0
34,electors,16.0,0.0,0.0
35,persons,15.0,7.0,3.0
36,same,15.0,0.0,3.0
37,vote,14.0,0.0,0.0
38,during,14.0,0.0,5.0
39,unless,14.0,0.0,7.0
40,majority,14.0,0.0,9.0
41,right,14.0,64.0,17.0
42,legislature,13.0,0.0,0.0
43,executive,13.0,21.0,5.0
44,senators,13.0,0.0,0.0
45,without,13.0,0.0,6.0
46,cases,13.0,20.0,6.0
47,votes,13.0,0.0,3.0
48,case,13.0,7.0,6.0
49,laws,13.0,42.0,10.0
50,provide,12.0,7.0,0.0
51,every,12.0,0.0,4.0
52,public,12.0,23.0,29.0
53,term,11.0,9.0,8.0
54,manner,11.0,0.0,0.0
55,day,11.0,0.0,0.0
56,its,11.0,38.0,9.0
57,states;,11.0,0.0,0.0
58,members,10.0,16.0,36.0
59,elected,10.0,11.0,4.0
60,whole,10.0,0.0,0.0
61,into,10.0,13.0,0.0
62,officers,10.0,0.0,0.0
63,except,10.0,11.0,11.0
64,consent,10.0,0.0,3.0
65,before,10.0,10.0,4.0
66,people,9.0,13.0,33.0
67,year,9.0,0.0,3.0
68,three,9.0,0.0,0.0
69,made,9.0,0.0,5.0
70,election,9.0,0.0,11.0
71,3,9.0,62.0,0.0
72,thirds,9.0,0.0,0.0
73,both,9.0,0.0,13.0
74,necessary,9.0,0.0,4.0
75,legislation,9.0,7.0,0.0
76,having,9.0,0.0,0.0
77,vice-president,9.0,0.0,0.0
78,enforce,9.0,0.0,0.0
79,chosen,8.0,0.0,0.0
80,after,8.0,16.0,8.0
81,until,8.0,9.0,0.0
82,vacancies,8.0,0.0,0.0
83,senator,8.0,0.0,0.0
84,subject,8.0,0.0,0.0
85,houses,8.0,0.0,13.0
86,government,8.0,110.0,5.0
87,choice,8.0,0.0,3.0
88,act,8.0,0.0,6.0
89,jurisdiction,8.0,14.0,0.0
90,legislatures,8.0,0.0,0.0
91,appropriate,8.0,0.0,0.0
92,age,7.0,0.0,0.0
93,respective,7.0,0.0,0.0
94,service,7.0,7.0,0.0
95,authority,7.0,15.0,3.0
96,holding,7.0,0.0,0.0
97,either,7.0,0.0,3.0
98,treason,7.0,0.0,0.0
99,bill,7.0,0.0,4.0
100,supreme,7.0,15.0,13.0
101,denied,7.0,0.0,0.0
102,another,7.0,0.0,0.0
103,provided,7.0,12.0,19.0
104,judicial,7.0,12.0,5.0
105,whenever,7.0,0.0,0.0
106,five,6.0,0.0,0.0
107,according,6.0,0.0,0.0
108,those,6.0,9.0,4.0
109,least,6.0,0.0,0.0
110,chuse,6.0,0.0,0.0
111,eight,6.0,0.0,0.0
112,trial,6.0,0.0,0.0
113,4,6.0,28.0,0.0
114,rules,6.0,0.0,0.0
115,member,6.0,0.0,3.0
116,neither,6.0,0.0,0.0
117,foreign,6.0,11.0,4.0
118,war,6.0,0.0,4.0
119,militia,6.0,0.0,0.0
120,district,6.0,0.0,0.0
121,officer,6.0,0.0,4.0
122,equal,6.0,13.0,3.0
123,voted,6.0,0.0,0.0
124,death,6.0,0.0,0.0
125,discharge,6.0,0.0,0.0
126,court,6.0,44.0,14.0
127,crime,6.0,12.0,0.0
128,written,6.0,0.0,0.0
129,declaration,6.0,0.0,0.0
130,union,5.0,0.0,0.0
131,establish,5.0,9.0,3.0
132,consist,5.0,0.0,4.0
133,second,5.0,0.0,0.0
134,representative,5.0,0.0,0.0
135,seven,5.0,0.0,0.0
136,direct,5.0,8.0,0.0
137,enumeration,5.0,0.0,0.0
138,ten,5.0,0.0,5.0
139,representation,5.0,0.0,0.0
140,fill,5.0,0.0,0.0
141,speaker,5.0,0.0,0.0
142,otherwise,5.0,0.0,0.0
143,pro,5.0,0.0,0.0
144,tempore,5.0,0.0,0.0
145,purpose,5.0,0.0,0.0
146,oath,5.0,0.0,0.0
147,appoint,5.0,10.0,3.0
148,session,5.0,0.0,8.0
149,days,5.0,9.0,7.0
150,place,5.0,0.0,3.0
151,receive,5.0,7.0,7.0
152,compensation,5.0,0.0,3.0
153,services,5.0,0.0,0.0
154,appointed,5.0,9.0,4.0
155,become,5.0,0.0,0.0
156,money,5.0,0.0,0.0
157,coin,5.0,0.0,0.0
158,tax,5.0,0.0,0.0
159,rebellion,5.0,0.0,0.0
160,taken,5.0,0.0,0.0
161,ballot,5.0,0.0,0.0
162,whom,5.0,0.0,0.0
163,list,5.0,0.0,0.0
164,held,5.0,0.0,5.0
165,ratified,5.0,0.0,0.0
166,choose,5.0,0.0,3.0
167,abridged,5.0,0.0,0.0
168,elect,5.0,0.0,0.0
169,acting,5.0,0.0,0.0
170,common,4.0,0.0,0.0
171,vested,4.0,0.0,0.0
172,citizen,4.0,9.0,0.0
173,inhabitant,4.0,0.0,0.0
174,among,4.0,0.0,0.0
175,numbers,4.0,0.0,0.0
176,bound,4.0,0.0,0.0
177,meeting,4.0,0.0,0.0
178,new,4.0,10.0,0.0
179,entitled,4.0,0.0,0.0
180,six,4.0,0.0,0.0
181,happen,4.0,0.0,0.0
182,issue,4.0,10.0,0.0
183,impeachment,4.0,0.0,0.0
184,immediately,4.0,0.0,3.0
185,fourth,4.0,0.0,0.0
186,resignation,4.0,9.0,0.0
187,exercise,4.0,13.0,3.0
188,convicted,4.0,0.0,0.0
189,present,4.0,0.0,8.0
190,removal,4.0,0.0,0.0
191,hold,4.0,7.0,0.0
192,trust,4.0,0.0,0.0
193,party,4.0,0.0,0.0
194,punishment,4.0,0.0,3.0
195,times,4.0,0.0,0.0
196,places,4.0,0.0,0.0
197,prescribed,4.0,0.0,0.0
198,assemble,4.0,0.0,0.0
199,different,4.0,0.0,0.0
200,federation,0.0,491.0,0.0
201,russian,0.0,468.0,0.0
202,federal,0.0,163.0,0.0
203,duma,0.0,85.0,0.0
204,bodies,0.0,77.0,0.0
205,oblast,0.0,64.0,0.0
206,council,0.0,59.0,0.0
207,constituent,0.0,57.0,0.0
208,constitutional,0.0,50.0,0.0
209,rights,0.0,47.0,13.0
210,entities,0.0,45.0,4.0
211,accordance,0.0,45.0,8.0
212,established,0.0,38.0,6.0
213,(her),0.0,37.0,0.0
214,procedure,0.0,37.0,3.0
215,everyone,0.0,35.0,0.0
216,federation;,0.0,34.0,0.0
217,freedoms,0.0,32.0,0.0
218,autonomous,0.0,31.0,0.0
219,local,0.0,30.0,9.0
