Word,Count
romeo,280
thou,275
thy,170
juliet,169
o,148
capulet,133
nurse,133
thee,132
love,123
shall,110
lady,104
friar,94
mercutio,81
good,80
here,74
benvolio,74
i’ll,71
night,66
death,65
hath,64
lawrence,64
tybalt,63
art,55
paris,55
doth,47
day,45
tell,44
sir,43
dead,42
fair,41
’tis,40
montague,36
prince,33
sweet,32
wilt,29
heaven,29
gone,29
ay,28
back,28
mine,28
hast,28
lord,28
scene,27
old,27
word,26
being,26
comes,26
light,26
hence,26
god,26
house,25
stand,25
true,25
stay,25
heart,25
dear,25
eyes,24
find,24
peter,24
therefore,23
call,23
again,23
hand,23
name,23
both,22
made,22
till,22
bed,22
servant,22
young,22
life,22
part,21
sampson,21
away,21
men,21
ere,21
madam,21
bid,21
cannot,21
die,21
holy,21
been,20
nay,20
lie,20
before,20
nor,20
father,20
think,20
watch,20
live,19
lies,19
marry,19
gregory,18
poor,18
never,18
eye,18
face,18
married,18
down,17
peace,17
hour,17
tears,17
farewell,17
earth,17
pray,17
wife,17
help,17
any,16
balthasar,16
keep,16
long,16
villain,16
son,16
other,16
romeo’s,16
county,16
lips,16
second,16
cell,16
blood,15
whose,15
hold,15
those,15
grave,15
sun,15
early,15
cousin,15
dost,15
world,15
ah,15
slain,15
fear,14
rest,14
many,14
still,14
poison,14
same,14
use,14
alone,14
musician,14
mantua,13
new,13
myself,13
lives,13
came,13
head,13
nothing,13
soon,13
without,13
thine,13
leave,13
child,13
none,13
faith,13
fall,13
run,13
woe,13
little,13
sin,13
joy,13
send,13
banished,13
thursday,13
makes,12
ever,12
turn,12
bear,12
talk,12
happy,12
gentle,12
sleep,12
she’s,12
get,12
capulet’s,12
best,12
soul,12
husband,12
daughter,12
shame,12
breath,12
tomorrow,12
lay,11
hands,11
forth,11
place,11
draw,11
better,11
hate,11
ho,11
shalt,11
beauty,11
love’s,11
he’s,11
else,11
o’er,11
within,11
though,11
ye,11
since,11
warrant,11
