Word,Count
shall,306
states,113
president,106
united,84
any,78
state,76
congress,62
section,55
office,37
law,36
amendment,35
house,34
person,34
other,31
representatives,29
senate,28
article,27
vice,26
each,25
number,25
constitution,24
power,22
within,20
years,19
thereof,19
citizens,18
powers,17
been,17
under,17
duties,17
nor,17
1,16
2,16
several,16
electors,16
persons,15
same,15
vote,14
during,14
unless,14
majority,14
right,14
legislature,13
executive,13
senators,13
without,13
cases,13
votes,13
case,13
laws,13
provide,12
every,12
public,12
term,11
manner,11
day,11
its,11
states;,11
members,10
elected,10
whole,10
into,10
officers,10
except,10
consent,10
before,10
people,9
year,9
three,9
made,9
election,9
3,9
thirds,9
both,9
necessary,9
legislation,9
having,9
vice-president,9
enforce,9
chosen,8
after,8
until,8
vacancies,8
senator,8
subject,8
houses,8
government,8
choice,8
act,8
jurisdiction,8
legislatures,8
appropriate,8
age,7
respective,7
service,7
authority,7
holding,7
either,7
treason,7
bill,7
supreme,7
denied,7
another,7
provided,7
judicial,7
whenever,7
five,6
according,6
those,6
least,6
chuse,6
eight,6
trial,6
4,6
rules,6
member,6
neither,6
foreign,6
war,6
militia,6
district,6
officer,6
equal,6
voted,6
death,6
discharge,6
court,6
crime,6
written,6
declaration,6
union,5
establish,5
consist,5
second,5
representative,5
seven,5
direct,5
enumeration,5
ten,5
representation,5
fill,5
speaker,5
otherwise,5
pro,5
tempore,5
purpose,5
oath,5
appoint,5
session,5
days,5
place,5
receive,5
compensation,5
services,5
appointed,5
become,5
money,5
coin,5
tax,5
rebellion,5
taken,5
ballot,5
whom,5
list,5
held,5
ratified,5
choose,5
abridged,5
elect,5
acting,5
common,4
vested,4
citizen,4
inhabitant,4
among,4
numbers,4
bound,4
meeting,4
new,4
entitled,4
six,4
happen,4
issue,4
impeachment,4
immediately,4
fourth,4
resignation,4
exercise,4
convicted,4
present,4
removal,4
hold,4
trust,4
party,4
punishment,4
times,4
places,4
prescribed,4
assemble,4
different,4
